x	rho_sf	rho_sf_ana	rho_pin	rho_pin_ana	rho_crit
-6.3867	0	1.8683e-31	0	0.0002191	0
-6.3574	0	2.6271e-31	0	0.00024623	0
-6.3281	0	3.6941e-31	0	0.00027673	0
-6.2988	0	5.1944e-31	0	0.000311	0
-6.2695	0	7.3042e-31	0	0.00034951	0
-6.2402	0	1.0271e-30	0	0.00039279	0
-6.2109	0	1.4442e-30	0	0.00044144	0
-6.1816	0	2.0308e-30	0	0.0004961	0
-6.1523	0	2.8557e-30	0	0.00055753	0
-6.123	0	4.0155e-30	0	0.00062656	0
-6.0938	0	5.6465e-30	0	0.00070414	0
-6.0645	0	7.9398e-30	0	0.00079132	0
-6.0352	0	1.1165e-29	0	0.00088929	0
-6.0059	0	1.5699e-29	0	0.00099938	0
-5.9766	4.235e-19	2.2076e-29	1.9358e-05	0.0011231	3.2965e-09
-5.9473	1.3664e-18	3.1042e-29	6.204e-05	0.0012621	1.0552e-08
-5.918	2.9338e-18	4.365e-29	0.00013183	0.0014183	2.2379e-08
-5.8887	5.161e-18	6.1379e-29	0.00022867	0.0015939	3.8713e-08
-5.8594	8.1309e-18	8.6308e-29	0.00035391	0.0017911	5.9715e-08
-5.8301	1.1953e-17	1.2136e-28	0.00050933	0.0020127	8.559e-08
-5.8008	1.6766e-17	1.7066e-28	0.00069701	0.0022617	1.1657e-07
-5.7715	2.2744e-17	2.3997e-28	0.00091957	0.0025415	1.5296e-07
-5.7422	3.0101e-17	3.3743e-28	0.00118	0.0028558	1.9509e-07
-5.7129	3.9101e-17	4.7448e-28	0.0014819	0.003209	2.4336e-07
-5.6836	5.0061e-17	6.672e-28	0.0018294	0.0036057	2.9822e-07
-5.6543	6.3368e-17	9.3819e-28	0.0022273	0.0040514	3.6019e-07
-5.625	7.9482e-17	1.3192e-27	0.0026809	0.0045521	4.2985e-07
-5.5957	9.896e-17	1.8551e-27	0.0031964	0.0051145	5.0784e-07
-5.5664	1.2247e-16	2.6085e-27	0.0037809	0.0057461	5.9491e-07
-5.5371	1.508e-16	3.668e-27	0.0044423	0.0064555	6.9187e-07
-5.5078	1.849e-16	5.1578e-27	0.0051895	0.0072522	7.9963e-07
-5.4785	2.259e-16	7.2526e-27	0.0060326	0.0081468	9.192e-07
-5.4492	2.7515e-16	1.0198e-26	0.0069831	0.0091512	1.0517e-06
-5.4199	3.3424e-16	1.434e-26	0.0080537	0.010279	1.1984e-06
-5.3906	4.0507e-16	2.0165e-26	0.0092588	0.011544	1.3606e-06
-5.3613	4.8988e-16	2.8355e-26	0.010614	0.012965	1.5399e-06
-5.332	5.9134e-16	3.9872e-26	0.012139	0.014559	1.738e-06
-5.3027	7.1258e-16	5.6066e-26	0.013852	0.016348	1.9567e-06
-5.2734	8.5733e-16	7.8838e-26	0.015776	0.018354	2.1981e-06
-5.2441	1.03e-15	1.1086e-25	0.017937	0.020603	2.4644e-06
-5.2148	1.2357e-15	1.5588e-25	0.020363	0.023125	2.7581e-06
-5.1855	1.4805e-15	2.192e-25	0.023085	0.025952	3.0821e-06
-5.1562	1.7717e-15	3.0823e-25	0.026137	0.029119	3.4393e-06
-5.127	2.1175e-15	4.3342e-25	0.02956	0.032666	3.8332e-06
-5.0977	2.528e-15	6.0945e-25	0.033395	0.036638	4.2673e-06
-5.0684	3.0146e-15	8.5698e-25	0.037691	0.041081	4.7459e-06
-5.0391	3.5909e-15	1.2051e-24	0.042499	0.04605	5.2733e-06
-5.0098	4.2727e-15	1.6945e-24	0.047879	0.051605	5.8546e-06
-4.9805	5.0787e-15	2.3827e-24	0.053893	0.057808	6.4953e-06
-4.9512	6.0303e-15	3.3505e-24	0.060611	0.064732	7.2013e-06
